code,description
6132,COMMODITY CONTRACTS BROKERS AND DEALERS
6133,SECURITY AND COMMODITY EXCHANGES
6134,SECURITY AND COMMODITY ALLIED SERVICES
6140,"INSURANCE CARRIERS, AGENTS, BROKERS AND SERVICES"
6141,INSURANCE CARRIERS
6142,"INSURANCE AGENTS, BROKERS AND SERVICES"
6144,GENERAL INSURANCE
6150,REAL ESTATE AND RELATED SERVICES
6152,"REAL ESTATE AGENTS, BROKERS AND MANAGEMENT SERVICES"
6153,TITLE ABSTRACTING SERVICES
6154,REAL ESTATE SUBDIVIDING AND DEVELOPING
6155,PROPERTY MANAGEMENT SERVICES
6156,"COMBINATIONS OF REAL ESTATE, LOANS, INSURANCE AND LAW SERVICES"
6157,REAL ESTATE RENTAL OR LEASING
6160,HOLDING AND INVESTMENT SERVICES
6170,FINANCIAL AGENT
6190,"OTHER FINANCE, INSURANCE AND REAL ESTATE SERVICES"
6191,PAWN SHOPS
6200,PERSONAL SERVICES
6201,HOME HEALTH CARE SERVICES
6202,CONSUMER DIRECT SERVICES
6205,DATING/ESCORT SERVICES
6206,DATING SERVICE - TELECOMMUNICATIONS
6210,"LAUNDERING, DRY CLEANING, AND DYEING SERVICES"
6211,LAUNDROMAT
6212,LINEN SUPPLY AND INDUSTRIAL LAUNDRY SERVICES
6213,DIAPER SERVICES
6214,SELF-SERVICE LAUNDERING AND DRY CLEANING
6215,RUG CLEANING AND REPAIR
6216,UNIFORM RENTAL
6218,PICTURE FRAMING
