demo_apn,demo_address,neighbor_handle,distance_ft,SITEADDR,ZIP,NUMBLDGS,NUMUNITS,LANDUSE1,VACANTLAND,ASMTIMPROV,LANDUSE_DESC,exclusion_reason,review_flag,near_demo_sites
37689050000,4926 Page Boulevard,13787000120,352.2,4965 PAGE BLVD,63113,0,0,5000,N,900,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 900 (> 0),4926 Page Boulevard
37689050000,4926 Page Boulevard,13787000140,380.1,1310 N KINGSHIGHWAY BLVD,63113,0,0,5000,Y,4900,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 4900 (> 0),4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000140,392.8,1238 N EUCLID AV,63113,0,0,1120,Y,3960,TWO FAMILY UNIT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 3960 (> 0),1219 Bayard Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000125,428.9,1230 N EUCLID AV,63113,0,0,1120,Y,4390,TWO FAMILY UNIT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 4390 (> 0),1219 Bayard Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000230,443.0,4868-70 PAGE BLVD,63113,0,0,6911,N,0,"CHURCHES, SYNAGOGUES AND TEMPLES",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),1219 Bayard Avenue; 1336 N Euclid Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13770000240,473.0,4864 PAGE BLVD,63113,0,0,5000,N,0,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),1219 Bayard Avenue; 1336 N Euclid Avenue; 4926 Page Boulevard
37689050000,4926 Page Boulevard,13767000110,489.9,1216 N KINGSHIGHWAY BLVD,63113,0,0,5000,N,5900,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 5900 (> 0),4926 Page Boulevard
37689050000,4926 Page Boulevard,13785000370,498.4,4861-3 PAGE BLVD,63113,0,0,6610,N,0,GENERAL CONTRACT - CONSTRUCTION SERVICES,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),1336 N Euclid Avenue; 4926 Page Boulevard
37749345000,4599 Page Boulevard,14553050010,122.6,1220 REV GEORGE H PRUITT PL,63113,0,0,6911,N,0,"CHURCHES, SYNAGOGUES AND TEMPLES",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),4599 Page Boulevard
37749345000,4599 Page Boulevard,13775030460,253.1,4599 EVANS AV,63113,0,0,1110,Y,190,SINGLE FAMILY UNITS,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 190 (> 0),4599 Page Boulevard
37749345000,4599 Page Boulevard,14553050020,269.2,4568 PAGE BLVD,63113,0,0,6911,N,0,"CHURCHES, SYNAGOGUES AND TEMPLES",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),4599 Page Boulevard
37749345000,4599 Page Boulevard,13772000240,325.9,4632 VERNON AV,63113,0,0,1120,Y,440,TWO FAMILY UNIT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 440 (> 0),4599 Page Boulevard
37749345000,4599 Page Boulevard,13774040012,351.5,4632-70 EVANS AV,63113,0,0,5000,N,7700,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 7700 (> 0),4599 Page Boulevard
37749345000,4599 Page Boulevard,13772000220,370.0,4636 VERNON AV,63113,0,0,1110,Y,820,SINGLE FAMILY UNITS,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 820 (> 0),4599 Page Boulevard
37749345000,4599 Page Boulevard,13774040205,415.4,4641-75 PAGE BLVD,63113,0,0,5000,Y,238800,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 238800 (> 0),4599 Page Boulevard
37749345000,4599 Page Boulevard,13775030300,484.8,1421-3 DEER ST,63113,0,0,6721,N,700,POLICE PROTECTION,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 700 (> 0),4599 Page Boulevard
44729270000,4649 N Market Street,14471000250,195.5,4653 ST FERDINAND AV,63113,0,0,1120,Y,190,TWO FAMILY UNIT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 190 (> 0),4615 Saint Ferdinand Avenue; 4649 N Market Street
44729270000,4649 N Market Street,14471000270,197.1,4657 ST FERDINAND AV,63113,0,0,1120,Y,910,TWO FAMILY UNIT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 910 (> 0),4615 Saint Ferdinand Avenue; 4649 N Market Street
44729270000,4649 N Market Street,14471000330,411.7,2526-8 MARCUS AV,63113,0,0,5920,N,0,PACKAGE LIQUOR,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),4615 Saint Ferdinand Avenue; 4649 N Market Street
44729270000,4649 N Market Street,14471000150,445.9,2523-5 CORA AV,63113,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),4577 Cottage Avenue; 4615 Saint Ferdinand Avenue; 4649 N Market Street
36039020000,4236 Sacramento Avenue,13608000125,89.9,4255 NATURAL BRIDGE AV,63115,0,0,5000,N,100,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 100 (> 0),4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,13608000140,205.4,4265 NATURAL BRIDGE AV,63115,0,0,5000,N,600,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 600 (> 0),4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,13608000147,305.4,4279 NATURAL BRIDGE AV,63115,0,0,5000,N,1000,TRADE,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 1000 (> 0),4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,14441098181,405.8,4225-7 LEXINGTON AV,63115,0,0,1114,N,7710,CONDOMINIUM - 6 UNITS OR LESS PER BLDG,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant); ASMTIMPROV recorded at 7710 (> 0),4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,14441090070,411.6,3625-7 HARRIS AV,63115,0,0,1010,N,0,VACANT RESIDENTIAL LOT,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: VACANTLAND marked 'N' (not vacant),4236 Sacramento Avenue
36039020000,4236 Sacramento Avenue,14441090270,417.6,4253 LEXINGTON AV,63115,0,0,1110,Y,840,SINGLE FAMILY UNITS,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: ASMTIMPROV recorded at 840 (> 0),4236 Sacramento Avenue
