demo_apn,demo_address,neighbor_handle,distance_ft,SITEADDR,ZIP,NUMBLDGS,NUMUNITS,LANDUSE1,VACANTLAND,ASMTIMPROV,LANDUSE_DESC,exclusion_reason,review_flag,near_demo_sites
37109085000,4651 Labadie Avenue,13712000050,445.1,4658 ST LOUIS AV,63115,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13712000040,448.3,4660 ST LOUIS AV,63115,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13712000030,452.7,4664-6 ST LOUIS AV,63115,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4651 Labadie Avenue
37109085000,4651 Labadie Avenue,13712000020,466.3,4668-70 ST LOUIS AV,63115,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4651 Labadie Avenue
37109340000,4549 Labadie Avenue,13710020390,59.7,4557 LABADIE AV,63115,0,0,1010,N,890,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4549 Labadie Avenue; 4615 Labadie Avenue
37149420000,4547 Maffitt Avenue,13715000360,275.7,4529 KENNERLY AV,63113,0,0,1110,Y,100,Single-family residence,NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4547 Maffitt Avenue; 4577 Cottage Avenue
37149420000,4547 Maffitt Avenue,13715000295,348.2,2719 N TAYLOR AV,63113,0,0,6913,N,6900,Religious-related building (?),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4547 Maffitt Avenue
37149420000,4547 Maffitt Avenue,13716000200,464.1,4530 KENNERLY AV,63113,0,0,1120,Y,190,Two-family (duplex/flat),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4547 Maffitt Avenue; 4565 Saint Ferdinand Avenue; 4577 Cottage Avenue
37169640000,4577 Cottage Avenue,14470000200,433.2,4625 COTTAGE AV,63113,0,0,5000,N,0,"Commercial/retail, general",NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4577 Cottage Avenue; 4615 Saint Ferdinand Avenue
37169640000,4577 Cottage Avenue,14471000150,435.8,2523-5 CORA AV,63113,0,0,1010,N,0,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4577 Cottage Avenue; 4615 Saint Ferdinand Avenue; 4649 N Market Street
37179530000,4565 Saint Ferdinand Avenue,13718000570,196.0,4563 NORTH MARKET ST,63113,0,0,1010,N,0,Code 1010 (not in dictionary),NUMBLDGS = 0 (assessor records no buildings on this parcel),CHECK: not flagged vacant and/or improvement value > 0,4565 Saint Ferdinand Avenue; 4615 Saint Ferdinand Avenue
